ID,attestedName,romanized_name,nameLanguage
1,Гатницы,Gatnitsy,Russian (Old Orthography)
2,Павшино,Pavshino,Russian (Old Orthography)
3,Змѣевѣ,Zmeeve,Russian (Old Orthography)
4,Ховань,Khovan',Russian (Old Orthography)
5,Лиской,Liskoi,Russian (Old Orthography)
6,Лаишевъ,"Laishev""",Russian (Old Orthography)
7,Мостки,Mostki,Russian (Old Orthography)
8,Новоезерской Кириловъ,"Novoezerskoi Kirilov""",Russian (Old Orthography)
9,Іосифовъ,"Іosifov""",Russian (Old Orthography)
10,Корсунь,Korsun',Russian (Old Orthography)
11,Воронцовка,Vorontsovka,Russian (Old Orthography)
12,Кіата,Kіata,Russian (Old Orthography)
13,Макарово,Makarovo,Russian (Old Orthography)
14,Тверь,Tver',Russian (Old Orthography)
15,Устье,Ust'e,Russian (Old Orthography)
16,Свирской Александровской,Svirskoi Aleksandrovskoi,Russian (Old Orthography)
17,Кимры,Kimry,Russian (Old Orthography)
18,Кромы,Kromy,Russian (Old Orthography)
19,Комлички,Komlichki,Russian (Old Orthography)
20,Голтва,Goltva,Russian (Old Orthography)
21,Городня,Gorodnia,Russian (Old Orthography)
22,Городницкъ,"Gorodnitsk""",Russian (Old Orthography)
23,Гремячь,Gremiach',Russian (Old Orthography)
24,Молога,Mologa,Russian (Old Orthography)
25,Грязовецъ,"Griazovets""",Russian (Old Orthography)
26,Хомутцы,Khomuttsy,Russian (Old Orthography)
27,Кременной,Kremennoi,Russian (Old Orthography)
28,Инжавенье,Inzhaven'e,Russian (Old Orthography)
29,Чечерскъ,"Chechersk""",Russian (Old Orthography)
30,Галяни,Galiani,Russian (Old Orthography)
31,Елатма,Elatma,Russian (Old Orthography)
32,Петровская,Petrovskaia,Russian (Old Orthography)
33,Басань,Basan',Russian (Old Orthography)
34,Парское,Parskoe,Russian (Old Orthography)
35,Мещовскъ,"Meshchovsk""",Russian (Old Orthography)
36,Высокое,Vysokoe,Russian (Old Orthography)
37,Нельянской,Nel'ianskoi,Russian (Old Orthography)
38,Макалово,Makalovo,Russian (Old Orthography)
39,Петровскъ,"Petrovsk""",Russian (Old Orthography)
40,Одоевъ,"Odoev""",Russian (Old Orthography)
41,Роменъ,"Romen""",Russian (Old Orthography)
42,Новой Миргородъ,"Novoi Mirgorod""",Russian (Old Orthography)
43,Осташковъ,"Ostashkov""",Russian (Old Orthography)
44,Хоперскъ,"Khopersk""",Russian (Old Orthography)
45,Горки,Gorki,Russian (Old Orthography)
46,Михайловка,Mikhailovka,Russian (Old Orthography)
47,Полтава,Poltava,Russian (Old Orthography)
48,Игумново,Igumnovo,Russian (Old Orthography)
49,Яблуновъ,"Iablunov""",Russian (Old Orthography)
50,Красное,Krasnoe,Russian (Old Orthography)
51,Рѣзыцы,Rezytsy,Russian (Old Orthography)
52,Инсара,Insara,Russian (Old Orthography)
53,Бѣлой,Beloi,Russian (Old Orthography)
54,Бѣжецкъ,"Bezhetsk""",Russian (Old Orthography)
55,Алатырь,Alatyr',Russian (Old Orthography)
56,Гагарино,Gagarino,Russian (Old Orthography)
57,Ефремовъ,"Efremov""",Russian (Old Orthography)
58,Козловъ,"Kozlov""",Russian (Old Orthography)
59,Клинъ,"Klin""",Russian (Old Orthography)
60,Козловка,Kozlovka,Russian (Old Orthography)
61,Ярославль,Iaroslavl',Russian (Old Orthography)
62,Пирятинъ,"Piriatin""",Russian (Old Orthography)
63,Мижиричь,Mizhirich',Russian (Old Orthography)
64,Куреньки,Kuren'ki,Russian (Old Orthography)
65,Калинкино,Kalinkino,Russian (Old Orthography)
66,Мринъ,"Mrin""",Russian (Old Orthography)
67,Динабургъ,"Dinaburg""",Russian (Old Orthography)
68,Кошира,Koshira,Russian (Old Orthography)
69,Кадомъ,"Kadom""",Russian (Old Orthography)
70,Черниговъ,"Chernigov""",Russian (Old Orthography)
71,Петровская,Petrovskaia,Russian (Old Orthography)
72,Ропскъ,"Ropsk""",Russian (Old Orthography)
73,Козельскъ,"Kozel'sk""",Russian (Old Orthography)
74,Мурзынка,Murzynka,Russian (Old Orthography)
75,Окуневскъ,"Okunevsk""",Russian (Old Orthography)
76,Малино,Malino,Russian (Old Orthography)
77,Потокъ,"Potok""",Russian (Old Orthography)
78,Феллинъ,"Fellin""",Russian (Old Orthography)
79,Арзамасъ,"Arzamas""",Russian (Old Orthography)
80,Ямская,Iamskaia,Russian (Old Orthography)
81,Великое,Velikoe,Russian (Old Orthography)
82,Ивица,Ivitsa,Russian (Old Orthography)
83,Носовка,Nosovka,Russian (Old Orthography)
84,Рогачево,Rogachevo,Russian (Old Orthography)
85,Спасъ,"Spas""",Russian (Old Orthography)
86,Алексѣевская,Alekseevskaia,Russian (Old Orthography)
87,Чернавскъ,"Chernavsk""",Russian (Old Orthography)
88,Кожино,Kozhino,Russian (Old Orthography)
89,Лохвица,Lokhvitsa,Russian (Old Orthography)
90,Гремячевъ,"Gremiachev""",Russian (Old Orthography)
91,Чугуевъ,"Chuguev""",Russian (Old Orthography)
92,Щигры,Shchigry,Russian (Old Orthography)
93,Льговъ,"L'gov""",Russian (Old Orthography)
94,Опошное,Oposhnoe,Russian (Old Orthography)
95,Павлоградъ,"Pavlograd""",Russian (Old Orthography)
96,Гаврилова,Gavrilova,Russian (Old Orthography)
97,Троицкое,Troitskoe,Russian (Old Orthography)
98,Переяславль,Pereiaslavl',Russian (Old Orthography)
99,Лазовица,Lazovitsa,Russian (Old Orthography)
100,Соколъ,"Sokol""",Russian (Old Orthography)
101,Дунилово,Dunilovo,Russian (Old Orthography)
102,Ямполь,Iampol',Russian (Old Orthography)
103,Краснокаменской,Krasnokamenskoi,Russian (Old Orthography)
104,Маркушевская,Markushevskaia,Russian (Old Orthography)
105,Іосифовъ,"Іosifov""",Russian (Old Orthography)
106,Митякинская,Mitiakinskaia,Russian (Old Orthography)
107,Звенигородъ,"Zvenigorod""",Russian (Old Orthography)
108,Володимерецъ,"Volodimerets""",Russian (Old Orthography)
109,Пупки,Pupki,Russian (Old Orthography)
110,Чериковъ,"Cherikov""",Russian (Old Orthography)
111,Бѣлозерской Кириловъ,"Belozerskoi Kirilov""",Russian (Old Orthography)
112,Романовъ,"Romanov""",Russian (Old Orthography)
113,Кирилоео,Kiriloeo,Russian (Old Orthography)
114,Анаево,Anaevo,Russian (Old Orthography)
115,Переславль Залѣской,Pereslavl' Zaleskoi,Russian (Old Orthography)
116,Цариченка,Tsarichenka,Russian (Old Orthography)
117,Богатищебо,Bogatishchebo,Russian (Old Orthography)
118,Сердобскъ,"Serdobsk""",Russian (Old Orthography)
119,Андреевка,Andreevka,Russian (Old Orthography)
120,Уральскъ,"Ural'sk""",Russian (Old Orthography)
121,Олишевка,Olishevka,Russian (Old Orthography)
122,Прилуки,Priluki,Russian (Old Orthography)
123,Борятино,Boriatino,Russian (Old Orthography)
124,Свинской,Svinskoi,Russian (Old Orthography)
125,Вашка,Vashka,Russian (Old Orthography)
126,Китай - Городокъ,"Kitai - Gorodok""",Russian (Old Orthography)
127,Фатежъ,"Fatezh""",Russian (Old Orthography)
128,Темниковъ,"Temnikov""",Russian (Old Orthography)
129,Муромъ,"Murom""",Russian (Old Orthography)
130,Рязань,Riazan',Russian (Old Orthography)
131,Мишуринъ Рогъ,"Mishurin"" Rog""",Russian (Old Orthography)
132,Сухари,Sukhari,Russian (Old Orthography)
133,Гжать,Gzhat',Russian (Old Orthography)
134,Каменка,Kamenka,Russian (Old Orthography)
135,Роловское,Rolovskoe,Russian (Old Orthography)
136,Кодинское,Kodinskoe,Russian (Old Orthography)
137,Хаяча,Khaiacha,Russian (Old Orthography)
138,Лукомля,Lukomlia,Russian (Old Orthography)
139,Мстиславль,Mstislavl',Russian (Old Orthography)
140,Дмитровка,Dmitrovka,Russian (Old Orthography)
141,Ольшанка,Ol'shanka,Russian (Old Orthography)
142,Спаскъ,"Spask""",Russian (Old Orthography)
143,Острамьево,Ostram'evo,Russian (Old Orthography)
144,Сенкова,Senkova,Russian (Old Orthography)
145,Ряжскъ,"Riazhsk""",Russian (Old Orthography)
146,Выборгъ,"Vyborg""",Russian (Old Orthography)
147,Соль-Вычегодскъ,"Sol'-Vychegodsk""",Russian (Old Orthography)
148,Ляудера,Liaudera,Russian (Old Orthography)
149,Турецкая,Turetskaia,Russian (Old Orthography)
150,Миргородъ,"Mirgorod""",Russian (Old Orthography)
151,Олонецъ,"Olonets""",Russian (Old Orthography)
152,Фридрихсгамъ,"Fridrikhsgam""",Russian (Old Orthography)
153,Изюмъ,"Izium""",Russian (Old Orthography)
154,Елецъ,"Elets""",Russian (Old Orthography)
155,Шумячи,Shumiachi,Russian (Old Orthography)
156,Бѣлыничи,Belynichi,Russian (Old Orthography)
157,Кунгуръ,"Kungur""",Russian (Old Orthography)
158,Ростовъ,"Rostov""",Russian (Old Orthography)
159,Теплогорская Богородицкая,Teplogorskaia Bogoroditskaia,Russian (Old Orthography)
160,Артемоновка,Artemonovka,Russian (Old Orthography)
161,Мирополье,Miropol'e,Russian (Old Orthography)
162,Исетская,Isetskaia,Russian (Old Orthography)
163,Зарубино,Zarubino,Russian (Old Orthography)
164,Глѣбово,Glebovo,Russian (Old Orthography)
165,Ивангородъ,"Ivangorod""",Russian (Old Orthography)
166,Перновъ,"Pernov""",Russian (Old Orthography)
167,Шунгской,Shungskoi,Russian (Old Orthography)
168,Ратсбургъ,"Ratsburg""",Russian (Old Orthography)
169,Исталена,Istalena,Russian (Old Orthography)
170,Сасово,Sasovo,Russian (Old Orthography)
171,Торжокъ,"Torzhok""",Russian (Old Orthography)
172,Городище,Gorodishche,Russian (Old Orthography)
173,Вычуга,Vychuga,Russian (Old Orthography)
174,Опушка,Opushka,Russian (Old Orthography)
175,Козелецъ,"Kozelets""",Russian (Old Orthography)
176,Маячка,Maiachka,Russian (Old Orthography)
177,Милославичи,Miloslavichi,Russian (Old Orthography)
178,Замошье,Zamosh'e,Russian (Old Orthography)
179,Шишаки,Shishaki,Russian (Old Orthography)
180,Халчь,Khalch',Russian (Old Orthography)
181,Михайловъ,"Mikhailov""",Russian (Old Orthography)
182,Еске,Eske,Russian (Old Orthography)
183,Мангазея,Mangazeia,Russian (Old Orthography)
184,Туруханскъ,"Turukhansk""",Russian (Old Orthography)
185,Лапстрандъ,"Lapstrand""",Russian (Old Orthography)
186,Кишенька,Kishen'ka,Russian (Old Orthography)
187,Шуя,Shuia,Russian (Old Orthography)
188,Ункосова,Unkosova,Russian (Old Orthography)
189,Авраміевъ,"Avramіev""",Russian (Old Orthography)
190,Петровское,Petrovskoe,Russian (Old Orthography)
191,Иса,Isa,Russian (Old Orthography)
192,Баевка,Baevka,Russian (Old Orthography)
193,Сапожокъ,"Sapozhok""",Russian (Old Orthography)
194,Богодуховъ,"Bogodukhov""",Russian (Old Orthography)
195,Дмитровская,Dmitrovskaia,Russian (Old Orthography)
196,Флорищева,Florishcheva,Russian (Old Orthography)
197,Нейшлотъ,"Neishlot""",Russian (Old Orthography)
198,Домницкой,Domnitskoi,Russian (Old Orthography)
199,Коропъ,"Korop""",Russian (Old Orthography)
200,Молоково,Molokovo,Russian (Old Orthography)
201,Березовца,Berezovtsa,Russian (Old Orthography)
202,Архангельскъ,"Arkhangel'sk""",Russian (Old Orthography)
203,Журавичи,Zhuravichi,Russian (Old Orthography)
204,Починки,Pochinki,Russian (Old Orthography)
205,Сорочинцы,Sorochintsy,Russian (Old Orthography)
206,Протопопова,Protopopova,Russian (Old Orthography)
207,Енисейскъ,"Eniseisk""",Russian (Old Orthography)
208,Яшъ,"Iash""",Russian (Old Orthography)
209,Махоново,Makhonovo,Russian (Old Orthography)
210,Зинковъ,"Zinkov""",Russian (Old Orthography)
211,Зѣнковъ,"Zenkov""",Russian (Old Orthography)
212,Юрьевецъ Поволгскій,"Iur'evets"" Povolgskіi",Russian (Old Orthography)
213,Кузнецкъ,"Kuznetsk""",Russian (Old Orthography)
214,Конобѣево,Konobeevo,Russian (Old Orthography)
215,Крюковъ,"Kriukov""",Russian (Old Orthography)
216,Барковъ,"Barkov""",Russian (Old Orthography)
217,Бронницы,Bronnitsy,Russian (Old Orthography)
218,Старой Быховъ,"Staroi Bykhov""",Russian (Old Orthography)
219,Савиницы,Savinitsy,Russian (Old Orthography)
220,Писцово,Pistsovo,Russian (Old Orthography)
221,Еремѣевка,Eremeevka,Russian (Old Orthography)
222,Стоянцы,Stoiantsy,Russian (Old Orthography)
223,Святое Мѣсто,Sviatoe Mesto,Russian (Old Orthography)
224,Адоватово,Adovatovo,Russian (Old Orthography)
225,Обрубъ,"Obrub""",Russian (Old Orthography)
226,Сребное,Srebnoe,Russian (Old Orthography)
227,Тенгушева,Tengusheva,Russian (Old Orthography)
228,Славгородка,Slavgorodka,Russian (Old Orthography)
229,Костюковичи,Kostiukovichi,Russian (Old Orthography)
230,Кубенское,Kubenskoe,Russian (Old Orthography)
231,Кириловъ,"Kirilov""",Russian (Old Orthography)
232,Покровское,Pokrovskoe,Russian (Old Orthography)
