ID,title,reprLat,reprLong,reprType,geonamesType,provisional
915,Kashirskii uezd,54.84444,38.16694,seat,ADM2,0
840,Tul'skoe Namestnichestvo,54.19609,37.61822,seat,ADM1,0
245,Ivanovo,,,,PPL,0
1141,Cherdynskii uezd,60.40295,56.47868,seat,ADM2,0
828,Permskoe Namestnichestvo,58.013889,56.248889,seat,ADM1,0
758,Cherdyn',60.40295,56.47868,GeoNames,PPL,0
1018,Iur'eva-Pol'skii uezd,56.50339,39.67911,seat,ADM2,0
808,Vladimerskoe Namestnichestvo,56.133333,40.416667,seat,ADM1,0
790,Iur'ev Pol'skii,56.50339,39.67911,GeoNames,PPL,0
1000,Lokhvitskii uezd,50.36776,33.26024,seat,ADM2,0
843,Chernigovskoe Namestnichestvo,51.50551,31.28488,seat,ADM1,0
388,Lokhvitsa,50.36776,33.26024,GeoNames,PPL,0
1039,Mtsenskii uezd,53.27657,36.57334,seat,ADM2,0
826,Orlovskoe Namestnichestvo,52.966667,36.066667,seat,ADM1,0
456,Mtsensk,53.27657,36.57334,GeoNames,PPL,0
824,Novogorod - Severskoe Namestnichestvo,51.983333,33.266667,seat,ADM1,0
320,Konotop,51.24032,33.20263,GeoNames,PPL,0
1093,L'govskii uezd,51.63069,35.2775,seat,ADM2,0
820,Kurskoe Namestnichestvo,51.716667,36.183333,seat,ADM1,0
394,L'gov,51.63069,35.2775,GeoNames,PPL,0
938,Orshanskii uezd,54.5081,30.4172,seat,ADM2,0
821,Mogilevskoe Namestnichestvo,53.916667,30.35,seat,ADM1,0
400,Liady,54.6,31.171,GeoNames,PPL,0
921,Kozlovskii uezd,52.8978,40.4907,seat,ADM2,0
837,Tambovskoe Namestnichestvo,52.716667,41.433333,seat,ADM1,0
663,Steshki,53.11193,41.2188,GeoNames,PPL,0
858,Kaluzhskii uezd,54.533333,36.266667,seat,ADM2,0
817,Kaluzhskoe Namestnichestvo,54.533333,36.266667,seat,ADM1,0
691,Tikhonova,54.63884,36.15534,GeoNames,PPL,0
1108,Slobodskii uezd,58.73222,50.17722,seat,ADM2,0
812,Viatskoe Namestnichestvo,58.6,49.65,seat,ADM1,0
637,Slobodskoi,58.73222,50.17722,GeoNames,PPL,0
905,Dmitrovskii uezd,56.34485,37.52041,seat,ADM2,0
806,Moskovskaia Guberniia,55.751667,37.617778,seat,ADM1,0
314,Kokvino,55.73197,36.30506,GeoNames,PPL,0
944,Poshekhonskii uezd,58.49928,39.13531,seat,ADM2,0
844,Iaroslavskoe Namestnichestvo,57.616667,39.85,seat,ADM1,0
557,Poshekhon',58.49928,39.13531,GeoNames,PPL,0
976,Gdovskii uezd,58.74424,27.81977,seat,ADM2,0
830,Pskovskoe Namestnichestvo,57.816667,28.333333,seat,ADM1,0
148,Gdov,58.74424,27.81977,GeoNames,PPL,0
936,Novosil'skii uezd,52.97387,37.04048,seat,ADM2,0
475,Novosil',52.97387,37.04048,GeoNames,PPL,0
523,Perm',58.01046,56.25017,GeoNames,PPL,0
1015,Borovskii uezd,55.20639,36.48611,seat,ADM2,0
70,Borovsk,55.20639,36.48611,GeoNames,PPL,0
311,Kozlov,52.8978,40.4907,GeoNames,PPL,0
809,Vologodskoe Namestnichestvo,59.2239,39.88398,seat,ADM1,0
211,Egor'evskoe Zadnee,59.77057,39.68925,GeoNames,PPL,0
1107,Staritskii uezd,56.50752,34.93544,seat,ADM2,0
838,Tverskoe Namestnichestvo,56.857828,35.921928,seat,ADM1,0
658,Staritsa,56.50752,34.93544,GeoNames,PPL,0
901,Volokolamskii uezd,56.03361,35.96944,seat,ADM2,0
266,Iosifov,,,,PPL,0
886,Alatyr'skii uezd,54.8421,46.5813,seat,ADM2,0
835,Sinbirskoe Namestnichestvo,54.316667,48.366667,seat,ADM1,0
606,Sarbaevo,55.05685,45.863,GeoNames,PPL,0
8,Alatyr',54.8421,46.5813,GeoNames,PPL,0
939,Ostrovskii uezd,57.34395,28.35368,seat,ADM2,0
507,Ostrov,57.34395,28.35368,GeoNames,PPL,0
18,Apicherskaia,,,,PPL,0
813,Ekaterinoslavskoe Namestnichestvo,48.466601,35.018155,seat,ADM1,0
270,Kaliberda,48.96564,33.70805,GeoNames,PPL,0
1122,Maloarkhangel'skii uezd,52.40024,36.50332,seat,ADM2,0
407,Maloi Arkhangel'sk,52.40024,36.50332,GeoNames,PPL,0
904,Dinaburgskii uezd,55.88333,26.53333,seat,ADM2,0
829,Polotskoe Namestnichestvo,55.4879,28.7856,seat,ADM1,0
590,Rushona,56.16667,26.88333,GeoNames,PPL,0
876,Sinbirskii uezd,54.316667,48.366667,seat,ADM2,0
141,Viazovna,,,,PPL,0
883,Khar'kovskii uezd,50.0,36.229167,seat,ADM2,0
842,Khar'kovskoe Namestnichestvo,50.0,36.229167,seat,ADM1,0
244,Ivanovka,49.86667,35.33333,GeoNames,PPL,0
859,Kievskii uezd,50.45,30.523333,seat,ADM2,0
818,Kievskoe Namestnichestvo,50.45,30.523333,seat,ADM1,0
443,Moromsk,51.08463,30.87838,GeoNames,PPL,0
930,Mirgorodskii uezd,49.96854,33.60886,seat,ADM2,0
503,Ostap'e,49.54487,33.76977,GeoNames,PPL,0
945,Prilutskii uezd,50.59323,32.38761,seat,ADM2,0
368,Ladinskoi,,,,PPL,0
935,Nizhelomovskii uezd,53.53041,43.67663,seat,ADM2,0
827,Penzenskoe Namestnichestvo,53.2,45.0,seat,ADM1,0
56,Bogoroditskoi Kazanskoi,,,,PPL,0
1007,Derptskii uezd,58.38062,26.72509,seat,ADM2,0
832,Rizhskoe Namestnichestvo,56.9475,24.106944,seat,ADM1,0
189,Derpt,58.38062,26.72509,GeoNames,PPL,0
958,Cherikovskii uezd,53.5689,31.3831,seat,ADM2,0
761,Cherikov,53.5689,31.3831,GeoNames,PPL,0
431,Mitiakinskaia,48.6104,39.7831,GeoNames,PPL,0
957,Cheliabinskii uezd,55.15402,61.42915,seat,ADM2,0
841,Ufimskoe Namestnichestvo,54.733333,55.966667,seat,ADM1,0
447,Mostovskoe,56.54404,57.02846,GeoNames,PPL,0
201,Dubovoe,,,,PPL,0
472,Novoi Oskol,50.7633,37.86402,GeoNames,PPL,0
909,Zaraiskii uezd,54.7605,38.87841,seat,ADM2,0
833,Riazanskoe Namestnichestvo,54.616667,39.716667,seat,ADM1,0
231,Zaraisk,54.7605,38.87841,GeoNames,PPL,0
884,Chernigovskii uezd,51.50551,31.28488,seat,ADM2,0
195,Domnitskoi,,,,PPL,0
334,Koshira,54.84444,38.16694,GeoNames,PPL,0
988,Kozeletskii uezd,50.91334,31.1214,seat,ADM2,0
543,Podvorgal'skoe,,,,PPL,0
893,Belitskii uezd,52.9395,30.4122,seat,ADM2,0
139,Vetka,52.6738,30.6303,GeoNames,PPL,0
554,Potok,49.77022,31.04966,GeoNames,PPL,0
1139,Chausskii uezd,53.8098,30.9717,seat,ADM2,0
755,Chausy,53.8098,30.9717,GeoNames,PPL,0
891,Bezhetskii uezd,57.78506,36.69651,seat,ADM2,0
441,Molokovo,,,,PPL,0
1068,Fatezhskii uezd,52.0891,35.8632,seat,ADM2,0
728,Fatezh,52.0891,35.8632,GeoNames,PPL,0
1110,Turinskii uezd,58.04575,63.69605,seat,ADM2,0
839,Tobol'skoe Namestnichestvo,58.195278,68.258056,seat,ADM1,0
707,Turinsk,58.04575,63.69605,GeoNames,PPL,0
448,Motsyna,53.8712,25.6957,GeoNames,PPL,0
1120,Zen'kovskii uezd,50.20806,34.36376,seat,ADM2,0
236,Zinkov,50.20806,34.36376,GeoNames,PPL,0
153,Glinsk,48.95619,32.89946,GeoNames,PPL,0
