ID,sourceFeatureType,romanizedFeatureType,geonamesFeatureType
1,Губернія,Gubernіia,ADM1
2,Намѣстничество,Namiestnichestvo,ADM1
3,Намѣстничество,Namiestnichestvo,ADM1
4,Намѣстничество,Namiestnichestvo,ADM1
5,Намѣстничество,Namiestnichestvo,ADM1
6,Намѣстничество,Namiestnichestvo,ADM1
7,Намѣстничество,Namiestnichestvo,ADM1
8,Намѣстничество,Namiestnichestvo,ADM1
9,Намѣстничество,Namiestnichestvo,ADM1
10,Намѣстничество,Namiestnichestvo,ADM1
11,Намѣстничество,Namiestnichestvo,ADM1
12,Намѣстничество,Namiestnichestvo,ADM1
13,Намѣстничество,Namiestnichestvo,ADM1
14,Намѣстничество,Namiestnichestvo,ADM1
15,Намѣстничество,Namiestnichestvo,ADM1
16,Намѣстничество,Namiestnichestvo,ADM1
17,Намѣстничество,Namiestnichestvo,ADM1
18,Намѣстничество,Namiestnichestvo,ADM1
19,Намѣстничество,Namiestnichestvo,ADM1
20,Намѣстничество,Namiestnichestvo,ADM1
21,Намѣстничество,Namiestnichestvo,ADM1
22,Намѣстничество,Namiestnichestvo,ADM1
23,Намѣстничество,Namiestnichestvo,ADM1
24,Намѣстничество,Namiestnichestvo,ADM1
25,Намѣстничество,Namiestnichestvo,ADM1
26,Намѣстничество,Namiestnichestvo,ADM1
27,Намѣстничество,Namiestnichestvo,ADM1
28,Намѣстничество,Namiestnichestvo,ADM1
29,Намѣстничество,Namiestnichestvo,ADM1
30,Намѣстничество,Namiestnichestvo,ADM1
31,Намѣстничество,Namiestnichestvo,ADM1
32,Намѣстничество,Namiestnichestvo,ADM1
33,Намѣстничество,Namiestnichestvo,ADM1
34,Намѣстничество,Namiestnichestvo,ADM1
35,Намѣстничество,Namiestnichestvo,ADM1
36,Намѣстничество,Namiestnichestvo,ADM1
37,Намѣстничество,Namiestnichestvo,ADM1
38,Намѣстничество,Namiestnichestvo,ADM1
39,Намѣстничество,Namiestnichestvo,ADM1
40,Область,Oblast',ADM1
41,Губернія,Gubernіia,ADM1
42,уѣздѣ,uiezdie,ADM2
43,уѣздѣ,uiezdie,ADM2
44,уѣздѣ,uiezdie,ADM2
45,уѣздѣ,uiezdie,ADM2
46,уѣздѣ,uiezdie,ADM2
47,уѣздѣ,uiezdie,ADM2
48,уѣздѣ,uiezdie,ADM2
49,уѣздѣ,uiezdie,ADM2
50,уѣздѣ,uiezdie,ADM2
51,уѣздѣ,uiezdie,ADM2
52,уѣздѣ,uiezdie,ADM2
53,уѣздѣ,uiezdie,ADM2
54,уѣздѣ,uiezdie,ADM2
55,уѣздѣ,uiezdie,ADM2
56,уѣздѣ,uiezdie,ADM2
57,уѣздѣ,uiezdie,ADM2
58,уѣздѣ,uiezdie,ADM2
59,уѣздѣ,uiezdie,ADM2
60,уѣздѣ,uiezdie,ADM2
61,уѣздѣ,uiezdie,ADM2
62,уѣздѣ,uiezdie,ADM2
63,уѣздѣ,uiezdie,ADM2
64,уѣздѣ,uiezdie,ADM2
65,уѣздѣ,uiezdie,ADM2
66,уѣздѣ,uiezdie,ADM2
67,уѣздѣ,uiezdie,ADM2
68,уѣздѣ,uiezdie,ADM2
69,уѣздѣ,uiezdie,ADM2
70,уѣздѣ,uiezdie,ADM2
71,уѣздѣ,uiezdie,ADM2
72,уѣздѣ,uiezdie,ADM2
73,уѣздѣ,uiezdie,ADM2
74,уѣздѣ,uiezdie,ADM2
75,уѣздѣ,uiezdie,ADM2
76,уѣздѣ,uiezdie,ADM2
77,уѣздѣ,uiezdie,ADM2
78,уѣздѣ,uiezdie,ADM2
79,уѣздѣ,uiezdie,ADM2
80,уѣздѣ,uiezdie,ADM2
81,уѣздѣ,uiezdie,ADM2
82,уѣздѣ,uiezdie,ADM2
83,уѣздѣ,uiezdie,ADM2
84,уѣздѣ,uiezdie,ADM2
85,уѣздѣ,uiezdie,ADM2
86,уѣздѣ,uiezdie,ADM2
87,уѣздѣ,uiezdie,ADM2
88,уѣздѣ,uiezdie,ADM2
89,уѣздѣ,uiezdie,ADM2
90,уѣздѣ,uiezdie,ADM2
91,уѣздѣ,uiezdie,ADM2
92,уѣздѣ,uiezdie,ADM2
93,уѣздѣ,uiezdie,ADM2
94,уѣздѣ,uiezdie,ADM2
95,уѣздѣ,uiezdie,ADM2
96,уѣздѣ,uiezdie,ADM2
97,уѣздѣ,uiezdie,ADM2
98,уѣздѣ,uiezdie,ADM2
99,уѣздѣ,uiezdie,ADM2
100,уѣздѣ,uiezdie,ADM2
101,уѣздѣ,uiezdie,ADM2
102,уѣздѣ,uiezdie,ADM2
103,уѣздѣ,uiezdie,ADM2
104,уѣздѣ,uiezdie,ADM2
105,уѣздѣ,uiezdie,ADM2
106,уѣздѣ,uiezdie,ADM2
107,уѣздѣ,uiezdie,ADM2
108,уѣздѣ,uiezdie,ADM2
109,уѣздѣ,uiezdie,ADM2
110,уѣздѣ,uiezdie,ADM2
111,уѣздѣ,uiezdie,ADM2
112,уѣздѣ,uiezdie,ADM2
113,уѣздѣ,uiezdie,ADM2
114,уѣздѣ,uiezdie,ADM2
115,уѣздѣ,uiezdie,ADM2
116,уѣздѣ,uiezdie,ADM2
117,уѣздѣ,uiezdie,ADM2
118,уѣздѣ,uiezdie,ADM2
119,уѣздѣ,uiezdie,ADM2
120,уѣздѣ,uiezdie,ADM2
121,уѣздѣ,uiezdie,ADM2
122,уѣздѣ,uiezdie,ADM2
123,уѣздѣ,uiezdie,ADM2
124,уѣздѣ,uiezdie,ADM2
125,уѣздѣ,uiezdie,ADM2
126,уѣздѣ,uiezdie,ADM2
127,уѣздѣ,uiezdie,ADM2
128,уѣздѣ,uiezdie,ADM2
129,уѣздѣ,uiezdie,ADM2
130,уѣздѣ,uiezdie,ADM2
131,уѣздѣ,uiezdie,ADM2
132,уѣздѣ,uiezdie,ADM2
133,уѣздѣ,uiezdie,ADM2
134,уѣздѣ,uiezdie,ADM2
135,уѣздѣ,uiezdie,ADM2
136,уѣздѣ,uiezdie,ADM2
137,уѣздѣ,uiezdie,ADM2
138,уѣздѣ,uiezdie,ADM2
139,уѣздѣ,uiezdie,ADM2
140,уѣздѣ,uiezdie,ADM2
141,уѣздѣ,uiezdie,ADM2
142,уѣздѣ,uiezdie,ADM2
143,уѣздѣ,uiezdie,ADM2
144,уѣздѣ,uiezdie,ADM2
145,уѣздѣ,uiezdie,ADM2
146,уѣздѣ,uiezdie,ADM2
147,уѣздѣ,uiezdie,ADM2
148,уѣздѣ,uiezdie,ADM2
149,уѣздѣ,uiezdie,ADM2
150,уѣздѣ,uiezdie,ADM2
151,уѣздѣ,uiezdie,ADM2
152,уѣздѣ,uiezdie,ADM2
153,уѣздѣ,uiezdie,ADM2
154,уѣздѣ,uiezdie,ADM2
155,уѣздѣ,uiezdie,ADM2
156,уѣздѣ,uiezdie,ADM2
157,уѣздѣ,uiezdie,ADM2
158,уѣздѣ,uiezdie,ADM2
159,уѣздѣ,uiezdie,ADM2
160,уѣздѣ,uiezdie,ADM2
161,уѣздѣ,uiezdie,ADM2
162,уѣздѣ,uiezdie,ADM2
163,уѣздѣ,uiezdie,ADM2
164,уѣздѣ,uiezdie,ADM2
165,уѣздѣ,uiezdie,ADM2
166,уѣздѣ,uiezdie,ADM2
167,уѣздѣ,uiezdie,ADM2
168,уѣздѣ,uiezdie,ADM2
169,уѣздѣ,uiezdie,ADM2
170,уѣздѣ,uiezdie,ADM2
171,уѣздѣ,uiezdie,ADM2
172,уѣздѣ,uiezdie,ADM2
173,уѣздѣ,uiezdie,ADM2
174,уѣздѣ,uiezdie,ADM2
175,уѣздѣ,uiezdie,ADM2
176,уѣздѣ,uiezdie,ADM2
177,уѣздѣ,uiezdie,ADM2
178,уѣздѣ,uiezdie,ADM2
179,уѣздѣ,uiezdie,ADM2
180,уѣздѣ,uiezdie,ADM2
181,уѣздѣ,uiezdie,ADM2
182,уѣздѣ,uiezdie,ADM2
183,уѣздѣ,uiezdie,ADM2
184,уѣздѣ,uiezdie,ADM2
185,уѣздѣ,uiezdie,ADM2
186,уѣздѣ,uiezdie,ADM2
187,уѣздѣ,uiezdie,ADM2
188,уѣздѣ,uiezdie,ADM2
189,уѣздѣ,uiezdie,ADM2
190,уѣздѣ,uiezdie,ADM2
191,уѣздѣ,uiezdie,ADM2
