ID,numericalData,numericalDataType,textData,fileData
1,,,"АРХАНГЕЛЬСКЪ, главный городъ Намѣстничества сего имени. Въ немъ бываетъ каждой годъ ярмарка , которая начинается въ Маіѣ мѣсяцѣ съ приходомъ изъ Россіи барокъ, а изъ за моря кораблей; прямая же, или валовая начинается всегда въ Іюнѣ, а оканчивается въ первыхъ числахъ Октября ; на ней бываетъ торговля ме-жду иностранными и Россійскими купцами Россійскими и иностранными товарами , продолжающаяся во время мореплаванія, на которую ярмарку иностранные купцы всякіе иностранные товары чрезъ море на корабляхъ изъ чужихъ краевъ къ Архангельскому порту привозятъ; а Россійскіе въ тѣ мѣста отпускаютъ всякіе привозимые чрезъ верховые города водою и сухимъ путемъ Россійскіе, Китайскіе, Персидскіе, Турецкіе и прочіе Азіатскіе и другіе иностранные товары для народнаго употребленія, а не въ отвозъ въ чужіе край, а именно же: привозимыя вина Французскія, Португальскія, Гишпанскія и Нѣмецкія лучшія и ординарныя, ромъ, уксусъ, водка венгерская, еликсиръ , винной, камень , сукна Голландскія , Аглинскія , Гамбурскія, Шлезскія и прочія лучшія и ординарныя, лоскутья и покроми суконныя , стамеды , штофы и прочія тому подобныя шерстяныя матеріи ; штофы и прочія шелковыя и полушелковыя парчи и ленты , выбойки , полотна Голландскія, олово въ блюдахъ и торѣлкахъ и прочихъ мѣдочахъ , прутовое и въ слиткахъ , свинецъ, желѣзо листовое , иглы , ножи , вилки , ножницы и прочіе желѣзные товары; квасцы, ртуть, сѣра горючая , шелакъ, шпіатеръ, масло деревянное, винныя ягоды , изюмъ , коринка , смоквы, черносливъ, ядры мигдальныя , кофе , чай , перецъ , орѣшки чернильныя , сандалъ, сахаръ, лимоны, померанцы и прочіе фрукты свѣжіе и въ винѣ; гвоздика, корица и прочія пряныя зелья ; канфара, ладонъ росной и простой, изъ гумми разныхъ сортовъ; посуда стеклянная, цѣнинная и каменая , стеклы окончинныя и бутылки , сыры , патока черная, пшено сорочинское , свѣтильня бумажная, бобры, выдры, лисицы; краски , консель брусковая, киноварь, оринакъ; чулки шелковые и шерстяные , также и прочіе отпускные , какъ - то: хлѣбъ , сѣмя льняное, сало говяжье и ворванная смола, юфть, желѣзо полосное и гвозди желѣзные , пенька, ленѣ , рогожии кульки рогожные ; щетина , канаты и веревки пеньковыя и пакальныя , пряжа канатная, воскъ, гривы конскія , кости , кожи моржевыя , мыло ; мягкая рухлядь , куницы , горнаcтаи , россомахи , бѣлки , песцы, зайчины , мѣхи бѣльи и заячьи , кожи медвежьи, кошечьи и волчьи; полотна гладкія и салфеточныя широкія и узкія и брань уѣздной работы, Фламскія парусныя и равендукъ холстъ , хрящъ, посуда деревянная, свѣчи сальныя, языки говяжьи копченые, губа лиственная , клей Сибирской, кожи подошевныя и ворванныя, сукна сермяжныя и чирковыя туфли, чаи жуланъ и простой, бадьянъ, масло коровье льняное и конопляное, медъ сырецъ, рога оленьи , мясо говяжье соленое , семга соленая , пряники медовые.",
2,,,"ВОРОНЕЖЪ, главный городъ Намѣстничества сего имени. Въ немъ, кромѣ еженедѣльныхъ по понедѣльникамъ , середамъ и пятницамъ торговъ , бываютъ въ году двѣ ярмарки: первая въ городѣ о десятой пятницѣ , а послѣдняя при слободѣ Чижовкѣ въ 29 день Августа.",
3,,,"ВЫБОРГЪ, главный городъ Намѣстничества сего имени. Въ ономъ бываетъ въ каждое лѣто ярмарка, какъ въ городѣ приморскомъ; отсюда за море отпускаютъ доски, смолу , желѣзо , а получаютъ соль, табакъ , вина и прочее. Сверхъ сего бываетъ въ году еще двѣ ярмарки: первая Августа 24 вторая Сентября 21, на которыякрестьяне привозятъ по большей части рогатой скотъ, лошадей и съѣстные припасы.",
4,,,"ИРКУТСКЪ, главный городъ Намѣстничества сего имени. Здѣсь бываютъ въ году двѣ ярмарки: первая съ 15 Марта по 1 Маія, вторая Ноября съ 15 Генваря по 1, въ которыя состоитъ торговля разными Россійскими и Китайскими товарами между Иркутскими и иногородными купцами.",
5,,,"АСТРАХАНЬ , городъ Кавказскаго Намѣстничества. Въ семъ городѣ бываетъ ярмарка каждолѣтно; Россійскіе купцы, Армяне и Татары торгуютъ съ Персіанами, Армянами, Индѣйцами и прочими, разными Европейскими и Азіатскими товарами.",
6,,,"КОСТРОМА , главный городъ Намѣстничества сего имени. Здѣсь бываютъ повсягодно въ девятую и въ десятую недѣли по Пасхѣ ярмарки, и въ каждой недѣлѣ торговыхъ два дни, въ середу и пятокъ; пріѣзжаетъ на оныя по боль-шей части крестьянство ; привозятъ изъ окрестныхъ мѣстъ холстъ , пряжу , хлѣбъ и прочіе крестьянскіе товары.",
7,,,"ПОЛОТСКЪ, главный городъ Намѣстничества сего имени. Въ немъ бываютъ въ году четыре ярмарки : первая на Богоявленіе , вторая въ первую недѣлю великаго поста, третія въ пятокъ передъ Петровымъ днемъ, четвертая въ недѣлю передъ Рождествомъ Христовымъ. На оныхъ торгуютъльномъ, пенькою, лѣсами, хлѣбомъ, медомъ, воскомъ, поташемъ и скотомъ.",
8,,,"САРАТОВЪ, главный городъ Намѣстничества сего имени. Въ немъ бываетъ ярмарка Іюля 8 числа отъ съѣзду крестьянъ изъ ближнихъ селеній для продажи и покупки имъ нужныхъ вещей , болѣежь съѣзжаются Калмыки для продажи Калмыцкихъ лошадей , кои продаютъ они рублей по 16 и больше, которыя высоки бываютъ ростомъ, и ходятъ иноходью; ошъ Россіанъ же Калмыки покупаютъ между прочимъ хлѣбъ, а болѣе сукна и шелковыя матеріи для одѣваніи своихъ женъ.",
9,,,"СИНБИРСКЪ, съ 1782 году главный городъ Намѣстничества сего имени. Въ немъ, кромѣ повседневныхъ особливыхъ торговъ, бываетъ Іюля съ 5 по 8 число годовая ярмарка.",
10,,,"СМОЛЕНСКЪ, съ 1775 год главный городъ Намѣстничества сего имени. Въ ономъ ярмарокъ нѣтъ, а пріѣзжаютъ въ торговые дни въ среду и пя-токъ изъ уѣздовъ разныхъ Помѣщиковъ крестьяне съ раз-нымъ хлѣбомъ , пенькою, медомъ ; а въ Воскресенье хотя и бываетъ крестьянство съ такимижь товарами, токмо малое число.",
