ID,attestedName,romanizedName,nameLanguage
1,Московская Губернія,Moskovskaia Gubernіia,Russian (Old Orthography)
2,Архангельское Намѣстничество,Arkhangel'skoe Namiestnichestvo,Russian (Old Orthography)
3,Владимерское Намѣстничество,Vladimerskoe Namiestnichestvo,Russian (Old Orthography)
4,Вологодское Намѣстничество,Vologodskoe Namiestnichestvo,Russian (Old Orthography)
5,Воронежское Намѣстничество,Voronezhskoe Namiestnichestvo,Russian (Old Orthography)
6,Выборгское Намѣстничество,Vyborgskoe Namiestnichestvo,Russian (Old Orthography)
7,Вятское Намѣстничество,Viatskoe Namiestnichestvo,Russian (Old Orthography)
8,Екатеринославское Намѣстничество,Ekaterinoslavskoe Namiestnichestvo,Russian (Old Orthography)
9,Иркутское Намѣстничество,Irkutskoe Namiestnichestvo,Russian (Old Orthography)
10,Кавказское Намѣстничество,Kavkazskoe Namiestnichestvo,Russian (Old Orthography)
11,Казанское Намѣстничество,Kazanskoe Namiestnichestvo,Russian (Old Orthography)
12,Калужское Намѣстничество,Kaluzhskoe Namiestnichestvo,Russian (Old Orthography)
13,Кіевское Намѣстничество,Kіevskoe Namiestnichestvo,Russian (Old Orthography)
14,Костромское Намѣстничество,Kostromskoe Namiestnichestvo,Russian (Old Orthography)
15,Курское Намѣстничество,Kurskoe Namiestnichestvo,Russian (Old Orthography)
16,Могилевское Намѣстничество,Mogilevskoe Namiestnichestvo,Russian (Old Orthography)
17,Нижегородское Намѣстничество,Nizhegorodskoe Namiestnichestvo,Russian (Old Orthography)
18,Новогородское Намѣстничество,Novogorodskoe Namiestnichestvo,Russian (Old Orthography)
19,Новогород - Сѣверское Намѣстничество,Novogorod - Sieverskoe Namiestnichestvo,Russian (Old Orthography)
20,Олонецкое Намѣстничество,Olonetskoe Namiestnichestvo,Russian (Old Orthography)
21,Орловское Намѣстничество,Orlovskoe Namiestnichestvo,Russian (Old Orthography)
22,Пензенское Намѣстничество,Penzenskoe Namiestnichestvo,Russian (Old Orthography)
23,Пермское Намѣстничество,Permskoe Namiestnichestvo,Russian (Old Orthography)
24,Полотское Намѣстничество,Polotskoe Namiestnichestvo,Russian (Old Orthography)
25,Псковское Намѣстничество,Pskovskoe Namiestnichestvo,Russian (Old Orthography)
26,Ревельское Намѣстничество,Revel'skoe Namiestnichestvo,Russian (Old Orthography)
27,Рижское Намѣстничество,Rizhskoe Namiestnichestvo,Russian (Old Orthography)
28,Рязанское Намѣстничество,Riazanskoe Namiestnichestvo,Russian (Old Orthography)
29,Саратовское Намѣстничество,Saratovskoe Namiestnichestvo,Russian (Old Orthography)
30,Синбирское Намѣстничество,Sinbirskoe Namiestnichestvo,Russian (Old Orthography)
31,Смоленское Намѣстничество,Smolenskoe Namiestnichestvo,Russian (Old Orthography)
32,Тамбовское Намѣстничество,Tambovskoe Namiestnichestvo,Russian (Old Orthography)
33,Тверское Намѣстничество,Tverskoe Namiestnichestvo,Russian (Old Orthography)
34,Тобольское Намѣстничество,Tobol'skoe Namiestnichestvo,Russian (Old Orthography)
35,Тульское Намѣстничество,Tul'skoe Namiestnichestvo,Russian (Old Orthography)
36,Уфимское Намѣстничество,Ufimskoe Namiestnichestvo,Russian (Old Orthography)
37,Харьковское Намѣстничество,Khar'kovskoe Namiestnichestvo,Russian (Old Orthography)
38,Черниговское Намѣстничество,Chernigovskoe Namiestnichestvo,Russian (Old Orthography)
39,Ярославское Намѣстничество,Iaroslavskoe Namiestnichestvo,Russian (Old Orthography)
40,Донскихъ Козаковъ Область,"Donskikh"" Kozakov"" Oblast'",Russian (Old Orthography)
41,Ст Петербургская Губернія,St Peterburgskaia Gubernіia,Russian (Old Orthography)
42,Московский уѣздѣ,Moskovskii uiezdie,Russian (Old Orthography)
43,Архангельский уѣздѣ,Arkhangel'skii uiezdie,Russian (Old Orthography)
44,Владимерский уѣздѣ,Vladimerskii uiezdie,Russian (Old Orthography)
45,Вологодский уѣздѣ,Vologodskii uiezdie,Russian (Old Orthography)
46,Воронежский уѣздѣ,Voronezhskii uiezdie,Russian (Old Orthography)
47,Выборгский уѣздѣ,Vyborgskii uiezdie,Russian (Old Orthography)
48,Виатский уѣздѣ,Viatskii uiezdie,Russian (Old Orthography)
49,Екатеринославский уѣздѣ,Ekaterinoslavskii uiezdie,Russian (Old Orthography)
50,Иркутский уѣздѣ,Irkutskii uiezdie,Russian (Old Orthography)
51,Астраханский уѣздѣ,Astrakhanskii uiezdie,Russian (Old Orthography)
52,Казанский уѣздѣ,Kazanskii uiezdie,Russian (Old Orthography)
53,Калужский уѣздѣ,Kaluzhskii uiezdie,Russian (Old Orthography)
54,Киевский уѣздѣ,Kievskii uiezdie,Russian (Old Orthography)
55,Костромский уѣздѣ,Kostromskii uiezdie,Russian (Old Orthography)
56,Курский уѣздѣ,Kurskii uiezdie,Russian (Old Orthography)
57,Могилевский уѣздѣ,Mogilevskii uiezdie,Russian (Old Orthography)
58,Нижегородский уѣздѣ,Nizhegorodskii uiezdie,Russian (Old Orthography)
59,Новогородский уѣздѣ,Novogorodskii uiezdie,Russian (Old Orthography)
60,Новогород - Северский уѣздѣ,Novogorod - Severskii uiezdie,Russian (Old Orthography)
