ID,title,reprLong,reprLat,reprType
1,Moskovskaia Guberniia,37.617778,55.751667,seat
2,Arkhangel'skoe Namestnichestvo,40.533333,64.533333,seat
3,Vladimerskoe Namestnichestvo,40.416667,56.133333,seat
4,Vologodskoe Namestnichestvo,39.88398,59.2239,seat
5,Voronezhskoe Namestnichestvo,39.210556,51.671667,seat
6,Vyborgskoe Namestnichestvo,28.744167,60.709167,seat
7,Viatskoe Namestnichestvo,49.65,58.6,seat
8,Ekaterinoslavskoe Namestnichestvo,35.018155,48.466601,seat
9,Irkutskoe Namestnichestvo,104.29639,52.29778,seat
10,Kavkazskoe Namestnichestvo,48.036667,46.323611,seat
11,Kazanskoe Namestnichestvo,49.114444,55.790833,seat
12,Kaluzhskoe Namestnichestvo,36.266667,54.533333,seat
13,Kievskoe Namestnichestvo,30.523333,50.45,seat
14,Kostromskoe Namestnichestvo,40.933333,57.766667,seat
15,Kurskoe Namestnichestvo,36.183333,51.716667,seat
16,Mogilevskoe Namestnichestvo,30.35,53.916667,seat
17,Nizhegorodskoe Namestnichestvo,44.00205,56.32867,seat
18,Novogorodskoe Namestnichestvo,31.27104,58.52131,seat
19,Novogorod - Severskoe Namestnichestvo,33.266667,51.983333,seat
20,Olonetskoe Namestnichestvo,34.35,61.783333,seat
21,Orlovskoe Namestnichestvo,36.066667,52.966667,seat
22,Penzenskoe Namestnichestvo,45,53.2,seat
23,Permskoe Namestnichestvo,56.248889,58.013889,seat
24,Polotskoe Namestnichestvo,28.7856,55.4879,seat
25,Pskovskoe Namestnichestvo,28.333333,57.816667,seat
26,Revel'skoe Namestnichestvo,24.745278,59.437222,seat
27,Rizhskoe Namestnichestvo,24.106944,56.9475,seat
28,Riazanskoe Namestnichestvo,39.716667,54.616667,seat
29,Saratovskoe Namestnichestvo,46,51.533333,seat
30,Sinbirskoe Namestnichestvo,48.366667,54.316667,seat
31,Smolenskoe Namestnichestvo,32.045278,54.782778,seat
32,Tambovskoe Namestnichestvo,41.433333,52.716667,seat
33,Tverskoe Namestnichestvo,35.921928,56.857828,seat
34,Tobol'skoe Namestnichestvo,68.258056,58.195278,seat
35,Tul'skoe Namestnichestvo,37.61822,54.19609,seat
36,Ufimskoe Namestnichestvo,55.966667,54.733333,seat
37,Khar'kovskoe Namestnichestvo,36.229167,50,seat
