ID,child,parent,sourceLink,startDate,endDate,confidence
,245,915,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,245,840,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,915,840,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,758,1141,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,758,828,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,1141,828,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,790,1018,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,790,808,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,1018,808,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,388,1000,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,388,843,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,1000,843,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,456,1039,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,456,826,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,1039,826,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,320,824,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,394,1093,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,394,820,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,1093,820,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,400,938,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,400,821,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,938,821,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,663,921,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,663,837,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,921,837,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,691,858,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,691,817,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,858,817,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,637,1108,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,637,812,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,1108,812,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,314,905,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,314,806,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,905,806,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,557,944,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,557,844,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,944,844,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,148,976,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,148,830,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,976,830,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,475,936,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,475,840,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,936,840,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,523,828,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,70,1015,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,70,817,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,1015,817,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,311,921,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,311,837,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,921,837,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,211,809,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,658,1107,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,658,838,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,1107,838,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,266,901,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,266,806,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,901,806,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,606,886,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,606,835,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,886,835,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
,8,886,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/5AI864SV,1785,1796,confident
