uniq_id,admin_seat_name,ru_old_orth,ru_new_orth,lc_translit_old,lc_translit_new,alt_name_old_orth,alt_name_new_orth,alt_name_old_trans,alt_name_new_trans,beg_yr,end_yr,xy_type,x_coord,y_coord,pres_loc,pres_country,country_code,ru_old_featuretype,ru_new_featuretype,ru_translit_old_featuretype,ru_translit_new_featuretype,en_featuretype,id_featuretype,lc_featuretype,admin_level,SOURCE,description,geonameId,partof_id,txt_id
1,Москва,Московская Губернія,Московская Губерния,Moskovskaia Gubernіia,Moskovskaia Guberniia,,,,,1785,1796,POINT,37.617778,55.751667,"Moscow, Moscow",Russia,RU,Губернія,Губерния,Gubernіia,Guberniia,Province,,,adminL1,,,524925,756,
2,Архангелскъ,Архангельское Намѣстничество,Архангельское Наместничество,Arkhangel'skoe Namestnichestvo,Arkhangel'skoe Namestnichestvo,,,,,1785,1796,POINT,40.533333,64.533333,"Arkhangelsk, Arkhangelsk Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
3,Владиміръ,Владимерское Намѣстничество,Владимерское Наместничество,Vladimerskoe Namestnichestvo,Vladimerskoe Namestnichestvo,,,,,1785,1796,POINT,40.416667,56.133333,"Vladimir, Vladimir Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
4,Вологда,Вологодское Намѣстничество,Вологодское Наместничество,Vologodskoe Namestnichestvo,Vologodskoe Namestnichestvo,,,,,1785,1796,POINT,39.88398,59.2239,"Vologda, Vologda Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
5,Воронежъ,Воронежское Намѣстничество,Воронежское Наместничество,Voronezhskoe Namestnichestvo,Voronezhskoe Namestnichestvo,,,,,1785,1796,POINT,39.210556,51.671667,"Voronezh, Voronezh Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
6,Выборгъ,Выборгское Намѣстничество,Выборгское Наместничество,Vyborgskoe Namestnichestvo,Vyborgskoe Namestnichestvo,,,,,1785,1796,POINT,28.744167,60.709167,"Vyborg, Leningrad Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
7,Вятка,Вятское Намѣстничество,Вятское Наместничество,Viatskoe Namestnichestvo,Viatskoe Namestnichestvo,,,,,1785,1796,POINT,49.65,58.6,"Kirov, Kirov Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
8,Екатеринославъ,Екатеринославское Намѣстничество,Екатеринославское Наместничество,Ekaterinoslavskoe Namestnichestvo,Ekaterinoslavskoe Namestnichestvo,,,,,1785,1796,POINT,35.018155,48.466601,"Dnepropetrovsk, Dnipropetrovsk Oblast",Ukraine,UA,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
9,Иркутскъ,Иркутское Намѣстничество,Иркутское Наместничество,Irkutskoe Namestnichestvo,Irkutskoe Namestnichestvo,,,,,1785,1796,POINT,104.29639,52.29778,"Irkutsk, Irkutsk Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
10,Екатериноградъ,Кавказское Намѣстничество,Кавказское Наместничество,Kavkazskoe Namestnichestvo,Kavkazskoe Namestnichestvo,,,,,1785,1796,POINT,48.036667,46.323611,"Astrakhan, Astrakhan Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
